game_id,nickname,total_turns,first_five_turns_points,max_points_turn,min_points_turn,max_min_difference,first,time_control_name,game_end_reason,winner,created_at,lexicon,initial_time_seconds,increment_seconds,rating_mode,max_overtime_minutes,game_duration_seconds,time_used
43066,BondGirl1968,13,179,72,0,72,BondGirl1968,regular,STANDARD,1,8/28/2022 2:52,NWL20,1440,0,RATED,1,834.0764499,0.5792197570000001
26941,STEEBot,12,188,70,18,52,STEEBot,regular,STANDARD,0,9/23/2022 13:09,CSW21,1260,0,RATED,1,676.5727422,0.536962494
43334,STEEBot,15,138,36,0,36,hannahbanana,rapid,RESIGNED,0,8/12/2022 16:23,NWL20,720,0,RATED,1,249.69903300000001,0.346804213
21804,blitztkr,12,69,79,-79,158,blitztkr,regular,RESIGNED,0,9/14/2022 2:56,CSW21,900,0,RATED,1,270.73264789999996,0.300814053
22852,JackHKeynes,10,260,79,23,56,HastyBot,regular,STANDARD,0,8/29/2022 3:21,CSW21,1200,0,RATED,1,778.9322522000001,0.64911021
62582,BetterBot,14,134,78,3,75,pandorable,blitz,STANDARD,0,8/18/2022 6:04,CSW21,300,0,RATED,1,89.60720611,0.298690687
3430,STEEBot,13,131,74,6,68,Raven10,regular,STANDARD,0,8/5/2022 16:27,CSW21,1200,0,CASUAL,1,579.0329158,0.48252743
19870,Vixie13,12,202,90,9,81,Vixie13,regular,STANDARD,0,9/10/2022 9:35,CSW21,1200,0,RATED,10,353.9885168,0.294990431
7500,oranggua,14,91,70,8,62,BetterBot,regular,STANDARD,0,9/10/2022 23:05,NWL20,1200,0,RATED,1,446.87411710000003,0.372395098
21396,SharonVeranda,13,156,90,8,82,SharonVeranda,regular,STANDARD,1,9/17/2022 16:47,NWL20,1200,0,RATED,1,567.7030649000001,0.47308588700000004
25319,HastyBot,11,128,74,16,58,HastyBot,regular,STANDARD,1,9/21/2022 7:14,CSW21,1200,0,RATED,1,160.897635,0.13408136199999998
47061,BB-8,14,104,57,6,51,BB-8,regular,STANDARD,0,9/5/2022 1:16,ECWL,900,0,CASUAL,10,287.4707401,0.319411933
66218,BetterBot,15,67,78,0,78,Zynx,rapid,STANDARD,0,9/6/2022 18:19,CSW21,780,0,RATED,1,320.42612410000004,0.410802723
69958,HastyBot,19,-2,78,-10,88,strataji,regular,CONSECUTIVE_ZEROES,0,9/7/2022 5:33,ECWL,2400,5,RATED,0,172.9581568,0.072065899
41778,robint,12,150,78,9,69,STEEBot,regular,STANDARD,1,9/20/2022 6:23,NWL20,1440,0,RATED,1,1239.261385,0.8605981840000001
6774,BetterBot,15,150,67,7,60,BetterBot,regular,STANDARD,0,9/17/2022 23:10,NWL20,1200,0,RATED,1,355.93533610000003,0.29661278
7586,STEEBot,12,205,72,14,58,spark1,regular,STANDARD,0,9/14/2022 4:58,NWL20,1500,0,RATED,1,636.906775,0.424604517
17302,STEEBot,14,119,68,13,55,STEEBot,regular,STANDARD,0,8/2/2022 0:31,CSW21,900,0,CASUAL,1,206.86995009999998,0.2298555
53176,BetterBot,14,97,86,3,83,BetterBot,regular,STANDARD,0,8/4/2022 22:06,NWL20,1500,0,RATED,1,1433.909066,0.955939377
50601,Sanuthi_Chandrakumar,13,165,75,0,75,BetterBot,regular,STANDARD,0,9/9/2022 6:08,CSW21,1200,0,RATED,1,338.5628099,0.282135675
66889,STEEBot,15,104,79,2,77,Priya1,regular,STANDARD,0,8/29/2022 11:37,CSW21,1260,0,RATED,1,603.595885,0.479044353
46594,BetterBot,12,201,86,9,77,LIMEUJIE,rapid,STANDARD,0,8/15/2022 8:52,CSW21,540,0,RATED,1,138.881588,0.257188126
55491,BetterBot,14,196,78,0,78,pandorable,blitz,STANDARD,0,9/15/2022 2:17,CSW21,300,0,RATED,1,178.752511,0.595841703
54093,BetterBot,15,49,59,4,55,BetterBot,regular,STANDARD,1,8/4/2022 5:51,CSW21,1200,0,CASUAL,2,435.5780029,0.362981669
69995,HastyBot,12,151,103,9,94,BB-8,regular,STANDARD,0,9/5/2022 18:27,ECWL,900,0,CASUAL,10,227.653821,0.25294869
2069,STEEBot,13,106,81,0,81,STEEBot,regular,STANDARD,1,8/4/2022 13:47,CSW21,1200,10,CASUAL,0,1071.4731550000001,0.8928942959999999
26527,talulah,15,54,67,4,63,talulah,regular,STANDARD,0,8/10/2022 19:54,NWL20,1200,0,CASUAL,1,158.05267690000002,0.131710564
18559,LIMZHEYUAN,14,110,74,4,70,LIMZHEYUAN,regular,STANDARD,1,8/2/2022 14:04,CSW21,900,0,RATED,0,648.220757,0.7202452859999999
65099,BetterBot,11,213,74,8,66,squashy,regular,STANDARD,0,9/2/2022 0:39,CSW21,900,0,RATED,1,243.2347929,0.270260881
23425,Churrrro,13,90,86,-10,96,Churrrro,blitz,STANDARD,1,9/2/2022 4:58,NWL20,300,0,CASUAL,1,309.89139289999997,1.03297131
65724,sbush,13,128,66,4,62,HastyBot,regular,STANDARD,0,9/12/2022 17:46,NWL20,1200,0,RATED,1,574.647949,0.47887329100000003
57262,magic29,14,60,72,6,66,BetterBot,rapid,STANDARD,0,9/8/2022 6:01,CSW21,360,0,RATED,1,277.3239789,0.770344386
61011,STEEBot,13,134,83,12,71,YLT,regular,STANDARD,0,8/28/2022 13:08,CSW21,3600,0,CASUAL,1,243.9658611,0.067768295
58713,BetterBot,12,187,74,17,57,PVMG,blitz,STANDARD,0,8/11/2022 13:54,CSW21,300,0,RATED,1,217.2349279,0.7241164259999999
5882,deathstar,13,164,74,2,72,STEEBot,rapid,STANDARD,1,7/30/2022 1:44,NWL20,600,0,RATED,1,347.6061561,0.579343594
35569,STEEBot,15,102,70,4,66,STEEBot,regular,STANDARD,1,8/6/2022 13:53,NWL20,1500,0,RATED,1,466.99006610000004,0.31132671100000003
6020,Willeford,13,172,89,18,71,Willeford,regular,STANDARD,1,9/11/2022 14:50,NWL20,1200,0,RATED,1,462.9910932,0.385825911
39050,kfraley,11,156,98,7,91,kfraley,regular,STANDARD,1,9/2/2022 18:23,CSW21,1200,0,CASUAL,1,838.5932951000001,0.698827746
69187,pandorable,13,83,77,8,69,BetterBot,blitz,STANDARD,0,8/13/2022 23:33,CSW21,300,0,RATED,1,111.48573590000002,0.37161912
12184,STEEBot,14,135,35,11,24,STEEBot,regular,STANDARD,0,9/22/2022 11:19,NWL20,1200,0,RATED,1,691.2410741,0.5760342279999999
27335,Meith,12,167,78,6,72,BetterBot,regular,STANDARD,1,9/18/2022 16:02,CSW21,900,0,RATED,1,191.6471181,0.212941242
44926,STEEBot,14,81,76,0,76,STEEBot,rapid,STANDARD,0,8/4/2022 13:15,CSW21,420,0,RATED,1,176.0776539,0.419232509
69127,Kii,13,95,80,0,80,STEEBot,regular,STANDARD,-1,9/21/2022 15:22,CSW21,900,0,RATED,1,887.6573372000001,0.98628593
49508,supriya,11,244,82,0,82,supriya,regular,STANDARD,1,9/10/2022 2:23,CSW21,1200,0,RATED,1,553.45135,0.46120945799999996
12210,STEEBot,15,98,76,10,66,Jaish,regular,STANDARD,0,8/19/2022 8:54,CSW21,900,0,RATED,1,490.0497711,0.5444997460000001
64831,Ibrahim28,18,47,82,-69,151,Ibrahim28,regular,STANDARD,0,9/2/2022 8:54,CSW21,840,0,CASUAL,1,268.4484251,0.319581458
69845,STEEBot,12,202,78,12,66,STEEBot,regular,STANDARD,1,7/29/2022 9:58,CSW21,1200,0,RATED,1,495.014538,0.412512115
5236,BetterBot,11,202,88,9,79,Kovert,regular,STANDARD,0,9/14/2022 13:32,NWL20,1800,0,CASUAL,1,665.3203421000001,0.369622412
71796,pisces223,14,91,35,6,29,pisces223,regular,STANDARD,0,9/9/2022 19:20,NWL20,1200,0,RATED,1,397.004204,0.330836837
23056,STEEBot,15,127,68,12,56,STEEBot,regular,STANDARD,0,8/29/2022 5:56,NWL20,3600,0,RATED,10,607.9822581,0.16888396100000003
21190,FieryLow,14,122,69,6,63,FieryLow,regular,STANDARD,0,8/17/2022 5:50,CSW21,900,0,CASUAL,1,722.4908588,0.802767621
72025,davidavid,13,182,72,12,60,davidavid,regular,STANDARD,1,8/30/2022 20:51,CSW21,900,0,RATED,5,520.1000558999999,0.577888951
29282,Kevin_818,11,173,98,16,82,STEEBot,rapid,STANDARD,1,9/6/2022 17:18,NWL20,600,0,CASUAL,1,356.6477742,0.5944129570000001
43707,arjun15,14,103,42,0,42,BetterBot,regular,STANDARD,0,8/22/2022 11:49,CSW21,1200,0,RATED,1,776.627779,0.647189816
45666,patricck,13,130,75,11,64,patricck,regular,STANDARD,1,8/2/2022 6:10,CSW21,3300,0,RATED,1,349.882499,0.106025
13955,friesbasil,10,136,99,3,96,HastyBot,regular,STANDARD,0,9/23/2022 10:16,CSW21,1200,0,RATED,1,205.84462209999998,0.171537185
33966,Vinith,13,157,70,12,58,Vinith,regular,STANDARD,1,8/27/2022 0:16,CSW21,1200,0,CASUAL,1,577.579699,0.481316416
1283,BetterBot,14,92,67,0,67,rasnz,regular,STANDARD,1,8/14/2022 14:25,CSW21,900,0,RATED,1,474.8063099,0.527562567
17579,putterzz,13,171,101,0,101,putterzz,regular,STANDARD,1,8/25/2022 18:34,CSW21,1320,0,RATED,1,994.2231069000001,0.7531993229999999
15761,HastyBot,12,191,74,16,58,HastyBot,regular,STANDARD,0,8/30/2022 5:37,CSW21,3600,0,CASUAL,1,397.30789489999995,0.11036330400000001
15231,BetterBot,12,179,53,12,41,Kovert,regular,STANDARD,1,8/13/2022 15:34,NWL20,1800,0,RATED,1,650.3044119,0.361280229
